1 Jan,Mon,New Year's Day,"AR, ML, MN, MZ, NL, PY,
RJ, SK, TG & TN"
2 Jan,Tue,Mannam Jayanti,KL
2 Jan,Tue,New Year Holiday,MZ
11 Jan,Thu,Missionary Day,MZ
12 Jan,Fri,Swami Vivekananda Jayanti,WB
15 Jan,Mon,Pongal,"AP, AR, PY & TN"
15 Jan,Mon,Magh Bihu,AS
15 Jan,Mon,Makara Sankranti,"GJ, KA, SK & TG"
16 Jan,Tue,Kanuma Panduga,AP
16 Jan,Tue,Thiruvalluvar Day,PY & TN
17 Jan,Wed,Guru Gobind Singh Jayanti,"CH, HR, JK, OR, PB &
RJ"
17 Jan,Wed,Uzhavar Thirunal,TN
23 Jan,Tue,Netaji Subhas Chandra Bose Jayanti,"JH, OR, TR & WB"
23 Jan,Tue,Gaan-Ngai,MN
25 Jan,Thu,State Day,HP
25 Jan,Thu,Thaipoosam,TN
25 Jan,Thu,Hazrat Ali Jayanti,UP
26 Jan,Fri,Republic Day,National
10 Feb,Sat,Losar,SK
,,,
10 Feb,Sat,Sonam Losar,SK
14 Feb,Wed,Vasant Panchami,"HR, OR, TR & WB"
15 Feb,Thu,Lui-Ngai-Ni,MN
19 Feb,Mon,Chhatrapati Shivaji Maharaj Jayanti,MH
20 Feb,Tue,State Day,AR & MZ
24 Feb,Sat,Guru Ravidas Jayanti,"HP, HR, MP & PB"
1 Mar,Fri,Chapchar Kut,MZ
5 Mar,Tue,Panchayatiraj Divas,OR
8 Mar,Fri,Maha Shivaratri,"National except AN, AR, AS, BR,
DL, GA, LD, MN, ML, MZ,
NL, PY, SK, TN & WB"
22 Mar,Fri,Bihar Day,BR
23 Mar,Sat,S. Bhagat Singh's Martyrdom Day,HR
25 Mar,Mon,Holi,"National except KA, KL, LD, MN,
PY, TN & WB"
25 Mar,Mon,Yaosang,MN
25 Mar,Mon,Doljatra,WB
26 Mar,Tue,Yaosang 2nd Day,MN
29 Mar,Fri,Good Friday,National except HR & JK
30 Mar,Sat,Easter Saturday,NL
31 Mar,Sun,Easter Sunday,KL & NL
1 Apr,Mon,Odisha Day,OR
5 Apr,Fri,Babu Jagjivan Ram Jayanti,AP & TG
5 Apr,Fri,Jumat-ul-Wida,JK
7 Apr,Sun,Shab-i-Qadr,JK
9 Apr,Tue,Ugadi,"AP, DD, DN, GA, GJ, JK,
KA, RJ & TG"
9 Apr,Tue,Gudi Padwa,MH & MP
9 Apr,Tue,Telugu New Year,TN
10 Apr,Wed,Idul Fitr,"National except GA, MH, ML, MZ
& TN"
11 Apr,Thu,Idul Fitr,"GA, MH, ML, MZ & TN"
11 Apr,Thu,Sarhul,JH
11 Apr,Thu,Idul Fitr Holiday,TG
,,,
13 Apr,Sat,Bohag Bihu Holiday,AS
13 Apr,Sat,Vaisakh,JK & PB
13 Apr,Sat,Maha Vishuba Sankranti,OR
14 Apr,Sun,Dr Ambedkar Jayanti,"National except AN, AR, AS, CH,
DN, DD, DL, LD, MN, ML,
MZ, NL & TR"
14 Apr,Sun,Bohag Bihu,AR & AS
14 Apr,Sun,Vishu,KL
14 Apr,Sun,Cheiraoba,MN
14 Apr,Sun,Tamil New Year,TN
14 Apr,Sun,Bengali New Year,TR & WB
15 Apr,Mon,Himachal Day,HP
17 Apr,Wed,Ram Navami,"National except AR, AS, JH, KA,
KL, LD, MN, ML, MZ, NL,
PY, TN, TR & WB"
21 Apr,Sun,Mahavir Jayanti,"CG, CH, DD, DL, DN, GJ,
HR, JH, KA, LD, MH, MP,
MZ, OR, PB, RJ, TN &
UP"
21 Apr,Sun,Garia Puja,TR
1 May,Wed,May Day,"AS, BR, GA, KA, KL, MN,
PY, TN, TR & WB"
1 May,Wed,Maharashtra Day,MH
8 May,Wed,Guru Rabindranath Jayanti,TR & WB
10 May,Fri,Maharshi Parasuram Jayanti,"GJ, HP, HR, MP, PB &
RJ"
10 May,Fri,Basava Jayanti,KA
16 May,Thu,State Day,SK
23 May,Thu,Buddha Purnima,"AN, AR, AS, CG, CH, DL,
HP, JH, JK, MH, MP, MZ,
OR, TR, UK, UP & WB"
24 May,Fri,Kazi Nazrul Islam Jayanti,TR
9 Jun,Sun,Maharana Pratap Jayanti,"HP, HR & RJ"
10 Jun,Mon,Sri Guru Arjun Dev Ji's Martyrdom Day,PB
14 Jun,Fri,Pahili Raja,OR
15 Jun,Sat,YMA Day,MZ
15 Jun,Sat,Raja Sankranti,OR
17 Jun,Mon,Bakrid / Eid al Adha,"National except AR, CH, DN, DD
& SK"
18 Jun,Tue,Bakrid / Eid al Adha Holiday,JK
22 Jun,Sat,Sant Guru Kabir Jayanti,"CG, HP, HR & PB"
,,,
30 Jun,Sun,Remna Ni,MZ
3 Jul,Wed,Behdeinkhlam Festival,ML
5 Jul,Fri,Guru Hargobind Ji's Birthday,JK
6 Jul,Sat,MHIP Day,MZ
7 Jul,Sun,Ratha Yathra,OR
13 Jul,Sat,Martyrs' Day,JK
13 Jul,Sat,Bhanu Jayanti,SK
17 Jul,Wed,Muharram,"National except AR, AS, CH, DN,
DD, GA, HR, KL, MN, ML,
NL, PY, PB, SK, UK &
WB"
17 Jul,Wed,U Tirot Sing Day,ML
31 Jul,Wed,Shaheed Udham Singh's Martyrdom Day,HR
31 Jul,Wed,Bonalu,TG
7 Aug,Wed,Haryali Teej,HR
8 Aug,Thu,Tendong Lho Rum Faat,SK
13 Aug,Tue,Patriots Day,MN
15 Aug,Thu,Independence Day,National
15 Aug,Thu,Parsi New Year,"DD, DN, GJ & MH"
16 Aug,Fri,De Jure Transfer Day,PY
19 Aug,Mon,Raksha Bandhan,"CG, DD, GJ, HR, MP, RJ,
UK & UP"
19 Aug,Mon,Jhulan Purnima,OR
26 Aug,Mon,Janmashtami,"National except AR, AS, GA, KA,
KL, LD, MH, MZ, PY &
WB"
5 Sep,Thu,Tithi of Srimanta Shankardev,AS
5 Sep,Thu,Hartalika Teej,CG & SK
7 Sep,Sat,Ganesh Chaturthi,"AP, DD, DN, GA, GJ, KA,
MH, PY, TG & TN"
8 Sep,Sun,Ganesh Chaturthi Holiday,GA
8 Sep,Sun,Nuakhai,OR
13 Sep,Fri,Ramdev Jayanti,RJ
13 Sep,Fri,Teja Dashmi,RJ
14 Sep,Sat,First Onam,KL
15 Sep,Sun,Thiruvonam,KL
16 Sep,Mon,Eid e Milad,"National except AN, AR, AS, BR,
GA, HR, HP, ML, PB, SK
& WB"
17 Sep,Tue,Indra Jatra,SK
18 Sep,Wed,Sree Narayana Guru Jayanti,KL
20 Sep,Fri,Friday Following Eid e Milad,JK
21 Sep,Sat,Sree Narayana Guru Samadhi,KL
23 Sep,Mon,Heroes' Martyrdom Day,HR
2 Oct,Wed,Gandhi Jayanti,National
2 Oct,Wed,Mahalaya Amavasye,"KA, OR, TR & WB"
3 Oct,Thu,Maharaja Agrasen Jayanti,HR
3 Oct,Thu,Ghatasthapana,RJ
3 Oct,Thu,First Day of Bathukamma,TG
10 Oct,Thu,Maha Saptami,"OR, SK, TR & WB"
11 Oct,Fri,Maha Ashtami,"AP, AR, JH, MN, OR, RJ,
SK, TG, TR & WB"
11 Oct,Fri,Maha Navami,"ML, PY & TN"
12 Oct,Sat,Maha Navami,"AS, BR, JH, KA, KL, NL,
OR, SK, TR, UP & WB"
12 Oct,Sat,Vijaya Dashami,"GA, MH, ML, MZ & TN"
13 Oct,Sun,Vijaya Dashami,"National except CH, DN, GA, MH,
MN, ML, MZ, PY & TN"
13 Oct,Sun,Janmostav of Srimanta Shankardev,AS
17 Oct,Thu,Kati Bihu,AS
17 Oct,Thu,Maharishi Valmiki Jayanti,"HP, HR, KA, MP & PB"
17 Oct,Thu,Lakshmi Puja,"OR, TR & WB"
31 Oct,Thu,Deepavali,"AP, GA, KA, KL, PY, TG
& TN"
31 Oct,Thu,Sardar Vallabhbhai Patel Jayanti,GJ
31 Oct,Thu,Diwali,MZ
1 Nov,Fri,Diwali,"National except AP, GA, KA, KL,
MZ, PY, TN & TG"
1 Nov,Fri,Haryana Day,HR
1 Nov,Fri,Kannada Rajyothsava,KA
1 Nov,Fri,Kut,MN
1 Nov,Fri,Puducherry Liberation Day,PY
2 Nov,Sat,Deepavali Holiday,"DD, HR, KA, MH, RJ, UK
& UP"
2 Nov,Sat,Vikram Samvat New Year,GJ
3 Nov,Sun,Bhai Dooj,"GJ, RJ, SK, UK & UP"
7 Nov,Thu,Chhath Puja,"AS, BR, CG & JH"
8 Nov,Fri,Wangala Festival,ML
15 Nov,Fri,Guru Nanak Jayanti,"National except AP, BR, DN, DD,
GA, KA, KL, MN, ML, OR,
PY, SK, TN & TR"
15 Nov,Fri,Karthika Purnima,OR & TG
18 Nov,Mon,Kanakadasa Jayanti,KA
22 Nov,Fri,Lhabab Duchen,SK
23 Nov,Sat,Seng Kut Snem,ML
1 Dec,Sun,Indigenous Faith Day,AR
3 Dec,Tue,Feast of St Francis Xavier,GA
5 Dec,Thu,Sheikh Muhammad Abdullah Jayanti,JK
6 Dec,Fri,Sri Guru Teg Bahadur Ji's Martyrdom Day,PB
12 Dec,Thu,Pa Togan Nengminza Sangma,ML
18 Dec,Wed,Guru Ghasidas Jayanti,CG
18 Dec,Wed,Death Anniversary of U SoSo Tham,ML
19 Dec,Thu,Liberation Day,DD & GA
24 Dec,Tue,Christmas Holiday,ML & MZ
25 Dec,Wed,Christmas Day,National
26 Dec,Thu,Shaheed Udham Singh Jayanti,HR
26 Dec,Thu,Christmas Holiday,"ML, MZ & TG"
27 Dec,Fri,Christmas Holiday,ML
30 Dec,Mon,U Kiang Nangbah,ML
30 Dec,Mon,Tamu Losar,SK
31 Dec,Tue,New Year's Eve,MN & MZ